"","X","State","Date","BinaryPiracyIncident","TotalViolentIncidents","TotalCasualties","CoastalCasualties","InlandCasualties","CoastalIncidents","InlandIncidents","GDPpc","Population","Unemployment","FishStocks","Military","Trade","CoastlineLength","Ports","ChokepointDistance1","ChokepointDistance2","Chokepoints","MajorShippingLane","OngoingCivilWar","StateFragility","StateReach","CountPiracyIncidents","Monsoon","Year"
"31",2781,"Djibouti","Aug 1997",0,0,0,0,0,0,0,760.6350212,660863,10.68200016,2282.603066,1.519617406,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1997"
"32",2782,"Djibouti","Sep 1997",0,0,0,0,0,0,0,760.6350212,660863,10.68200016,2282.603066,1.519617406,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1997"
"33",2783,"Djibouti","Oct 1997",0,1,11,11,0,1,0,760.6350212,660863,10.68200016,2282.603066,1.519617406,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1997"
"34",2784,"Djibouti","Nov 1997",0,0,0,0,0,0,0,760.6350212,660863,10.68200016,2282.603066,1.519617406,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1997"
"35",2785,"Djibouti","Dec 1997",0,0,0,0,0,0,0,760.6350212,660863,10.68200016,2282.603066,1.519617406,NA,314,1,119,119,4,1,0,15,0.00613159850642385,0,0,"1997"
"36",2786,"Djibouti","Jan 1998",0,0,0,0,0,0,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
"37",2787,"Djibouti","Feb 1998",0,0,0,0,0,0,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
"38",2788,"Djibouti","Mar 1998",0,1,12,12,0,1,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
"39",2789,"Djibouti","Apr 1998",0,1,4,4,0,1,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
"40",2790,"Djibouti","May 1998",0,0,0,0,0,0,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
"41",2791,"Djibouti","Jun 1998",0,0,0,0,0,0,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
"42",2792,"Djibouti","Jul 1998",0,0,0,0,0,0,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
"43",2793,"Djibouti","Aug 1998",0,0,0,0,0,0,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
"44",2794,"Djibouti","Sep 1998",0,0,0,0,0,0,0,755.7616936,680463,10.67399979,2374.660111,NA,NA,314,1,119,119,4,1,0,14,0.00613159850642385,0,0,"1998"
